NRIC,Name,Gender,Blood type,Disease,Age,Zipcode,BMI
F2101452R,Karon Nagel,M,AB,Mumps,70,800654,32.4
S7241770H,Melanie Moore,M,A,Dengue,59,465400,26.1
S0219978R,Juanita Vasquez,M,A,Chickenpox,76,399502,30.1
F9408695J,Valerie Bennett,M,A,Smallpox,69,433964,25.5
F3280653Z,Kenneth Campbell,M,AB,Measles,28,577542,30.0
S7892123P,June Kader,F,B,Smallpox,75,782741,22.6
F8277105J,Robert Cline,F,O,Chikungunya,64,796549,28.8
G6333004C,Miles Cooper,M,B,Conjunctivitis,82,724589,20.4
F3309528Y,Garrett Decarr,F,AB,Mumps,33,156506,33.2
F0585729Y,Ray Cook,F,A,Typhoid,55,759306,39.6
S5192189J,Brenda Moneypenny,F,O,Anthrax,45,405937,24.0
F9895801X,Mary Mitchell,M,AB,Influenza,54,313016,37.7
F6388153U,Otis Haws,F,B,Chikungunya,69,450380,26.4
F1921386B,Anna Smith,M,A,Smallpox,26,141042,34.0
F7886425S,Christopher Ehrlich,F,A,Nipah,78,442154,21.6
T4538480F,William Stiegman,M,B,Nipah,60,486178,28.0
T3584233H,Reginald Caldwell,M,AB,Rubella,87,714431,28.8
T7231488R,Milton Gooden,M,AB,Measles,56,504273,37.9
G9095177D,Henry Barajas,M,B,Influenza,22,564289,37.8
F1073104T,Monica Carlyle,M,B,Diphtheria,34,577419,39.6
S4921550Y,Bryon Hodge,M,AB,Cholera,85,792089,23.5
G8501854K,Marcel Whipple,F,B,Rabies,52,678217,38.7
S0271428Q,Jerry Daniel,F,O,Cholera,34,496275,22.1
F5285737U,Cynthia Brennan,M,B,Malaria,84,327965,27.5
S7803359Q,James Sprecher,M,AB,Typhoid,43,122760,23.2
S6406154U,Gregory Arnold,M,B,Hepatitis,76,798341,33.6
G9641783J,Judy Mozak,M,O,Food Poisoning,88,474431,30.7
T3308248N,Michael Akers,M,O,Chikungunya,83,805106,34.3
G8184854L,Joyce Durbin,M,AB,Conjunctivitis,25,408525,39.4
S2581643J,Suzanne Pychardo,F,B,Malaria,85,540120,34.2
F7919961Z,Gary Vicario,M,AB,Anthrax,24,101497,27.1
G8870592H,Alice Collins,F,AB,Pneumococcal,57,303531,18.9
G8499608R,Keith Nass,F,A,Rabies,21,391832,32.4
G1628216J,Sally Seery,M,A,Measles,83,414764,23.6
F9004537C,Kenneth Corrente,F,O,Chickenpox,30,804314,21.3
G9916897C,Charles Howerton,M,O,Chikungunya,77,646572,29.3
G2269494T,Marilyn Holman,M,O,Dengue,88,556619,37.0
F7810785X,Gwendolyn Buford,F,O,Mumps,57,763878,29.8
G9570506S,Vickie Scruggs,F,B,Conjunctivitis,43,800701,28.4
G5270337C,Michael Cortes,F,AB,Anthrax,28,347504,33.1
T9075848R,Andrew Vigil,F,B,Rabies,56,156800,35.3
